Driver,Team,LapNumber,LapTime,Position,Stint,TyreLife,Compound,FreshTyre,TrackStatus,PitInTime,PitOutTime,IsAccurate,TrackTemp,AirTemp,Humidity,Rainfall,IsInLap,IsOutLap,IsSC,IsVSC,Year,StartingPosition,LapTimeDelta,LapTime_lag1,LapTime_lag2,LapTime_lag3,PaceVsMedian,FuelLoad,GroudEffectEra,IsRestartLap
BOT,Mercedes,25.0,92.95,2.0,2.0,4.0,MEDIUM,True,1,,,True,53.8,28.0,37.1,False,False,False,False,False,2018,4.0,0.27899999999999636,92.671,92.236,111.503,-1.7399999999999949,0.5192307692307693,False,False
BOT,Mercedes,26.0,93.404,2.0,2.0,5.0,MEDIUM,True,1,,,True,53.5,27.8,37.8,False,False,False,False,False,2018,4.0,0.4539999999999935,92.95,92.671,92.236,-1.7625000000000028,0.5,False,False
BOT,Mercedes,27.0,92.792,2.0,2.0,6.0,MEDIUM,True,1,,,True,53.6,27.9,37.5,False,False,False,False,False,2018,4.0,-0.6119999999999948,93.404,92.95,92.671,-2.082499999999996,0.4807692307692308,False,False
BOT,Mercedes,28.0,93.285,2.0,2.0,7.0,MEDIUM,True,1,,,True,54.1,28.4,36.5,False,False,False,False,False,2018,4.0,0.492999999999995,92.792,93.404,92.95,-1.3800000000000097,0.46153846153846156,False,False
BOT,Mercedes,29.0,92.832,2.0,2.0,8.0,MEDIUM,True,1,,,True,54.1,28.6,36.1,False,False,False,False,False,2018,4.0,-0.45300000000000296,93.285,92.792,93.404,-1.8590000000000089,0.4423076923076923,False,False
BOT,Mercedes,30.0,92.632,2.0,2.0,9.0,MEDIUM,True,1,,,True,52.1,27.5,38.9,False,False,False,False,False,2018,4.0,-0.19999999999998863,92.832,93.285,92.792,-1.957499999999996,0.4230769230769231,False,False
BOT,Mercedes,31.0,92.924,2.0,2.0,10.0,MEDIUM,True,1,,,True,53.2,27.6,38.7,False,False,False,False,False,2018,4.0,0.2920000000000016,92.632,92.832,93.285,-1.8444999999999823,0.40384615384615385,False,False
BOT,Mercedes,32.0,92.795,2.0,2.0,11.0,MEDIUM,True,12,,,True,53.2,27.6,38.6,False,False,False,False,False,2018,4.0,-0.1290000000000049,92.924,92.632,92.832,-14.659999999999997,0.38461538461538464,False,False
BOT,Mercedes,33.0,119.767,2.0,2.0,12.0,MEDIUM,True,24,,,False,54.0,27.9,38.5,False,False,False,True,False,2018,4.0,26.971999999999994,92.795,92.924,92.632,-9.165999999999997,0.36538461538461536,False,False
BOT,Mercedes,34.0,145.721,1.0,2.0,13.0,MEDIUM,True,4,,,False,52.5,27.8,38.7,False,False,False,True,False,2018,4.0,25.954000000000008,119.767,92.795,92.924,32.4135,0.34615384615384615,False,True
