LapNumber,LapTime,Year,LapTime_Zscore
5.0,70.005,2024,-0.13150724235615116
6.0,70.238,2024,-0.09875825173385815
7.0,70.22,2024,-0.10128821667463621
8.0,70.331,2024,-0.0856867662065049
9.0,70.6,2024,-0.04787784570265779
10.0,70.596,2024,-0.04844006013394046
11.0,70.562,2024,-0.053218882799855226
12.0,70.512,2024,-0.060246563190904705
13.0,70.955,2024,0.0020186850737968945
14.0,70.707,2024,-0.03283860966581115
15.0,71.028,2024,0.012279098444730768
16.0,70.957,2024,0.0022997922894382344
17.0,70.981,2024,0.005673078877142303
18.0,71.364,2024,0.05950511067258573
19.0,71.515,2024,0.08072870545355583
20.0,71.548,2024,0.08536697451164892
21.0,71.3,2024,0.05050967977204088
22.0,71.549,2024,0.08550752811947059
23.0,74.679,2024,0.5254403205991922
24.0,87.394,2024,2.312579444043176
25.0,69.766,2024,-0.16509955462536816
26.0,69.506,2024,-0.20164349265882825
27.0,69.451,2024,-0.20937394108898408
28.0,69.581,2024,-0.19110197207225302
29.0,69.696,2024,-0.17493830717283904
30.0,69.661,2024,-0.17985768344657346
31.0,69.696,2024,-0.17493830717283904
32.0,69.576,2024,-0.19180474011135937
33.0,69.455,2024,-0.2088117266576994
34.0,69.482,2024,-0.2050167792465323
35.0,69.958,2024,-0.13811326192373763
36.0,69.907,2024,-0.14528149592260878
37.0,70.12,2024,-0.11534357745673515
38.0,70.143,2024,-0.11211084447685275
39.0,70.258,2024,-0.09594717957743876
40.0,70.217,2024,-0.10170987749809922
41.0,71.114,2024,0.024366708717336347
42.0,70.628,2024,-0.04394234468366904
43.0,70.904,2024,-0.005149548925074251
44.0,70.479,2024,-0.0648848322489978
45.0,70.349,2024,-0.08315680126572683
46.0,70.288,2024,-0.09173057134280868
47.0,70.658,2024,-0.039725736449038956
48.0,70.36,2024,-0.08161071157969647
49.0,70.543,2024,-0.05588940134845295
50.0,70.738,2024,-0.02848144782335939
51.0,73.86,2024,0.4103269157937949
52.0,91.585,2024,2.9016396144209753
53.0,68.772,2024,-0.3048098407994397
54.0,68.789,2024,-0.3024204294664833
55.0,69.213,2024,-0.2428256997503814
56.0,68.623,2024,-0.3257523283647684
57.0,68.975,2024,-0.27627745841177875
58.0,69.183,2024,-0.2470423079850095
59.0,70.646,2024,-0.04141237974289099
60.0,69.399,2024,-0.21668272869567487
61.0,70.003,2024,-0.1317883495717925
62.0,69.528,2024,-0.1985513132867655
63.0,70.412,2024,-0.07430192397300366
64.0,98.003,2024,3.803712669416138
65.0,93.697,2024,3.198488834138923
66.0,83.719,2024,1.7960449353010086
67.0,71.691,2024,0.10546614043005166
68.0,67.719,2024,-0.45281278983495166
69.0,68.321,2024,-0.36819951792671063
70.0,68.072,2024,-0.4031973662741383
71.0,68.518,2024,-0.3405104571859737
